centres_ENGLAND,centres_FRANCE,centres_GERMANY,centres_ITALY,centres_RUSSIA,centres_TURKEY,centres_AUSTRIA,prompt_ENGLAND,response_ENGLAND,prompt_FRANCE,response_FRANCE,prompt_GERMANY,response_GERMANY,prompt_ITALY,response_ITALY,prompt_RUSSIA,response_RUSSIA,prompt_TURKEY,response_TURKEY,prompt_AUSTRIA,response_AUSTRIA,runtime_ENGLAND,runtime_FRANCE,runtime_GERMANY,runtime_ITALY,runtime_RUSSIA,runtime_TURKEY,runtime_AUSTRIA,cost_ENGLAND,cost_FRANCE,cost_GERMANY,cost_ITALY,cost_RUSSIA,cost_TURKEY,cost_AUSTRIA,model_ENGLAND,model_FRANCE,model_GERMANY,model_ITALY,model_RUSSIA,model_TURKEY,model_AUSTRIA
3,3,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hold,hold,hold,hold,hold,hold,hold
4,4,4,3,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random,random,random,random,random,random,random
3,3,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hold,hold,hold,hold,hold,hold,hold
4,4,4,3,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random,random,random,random,random,random,random
3,3,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hold,hold,hold,hold,hold,hold,hold
4,4,4,3,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random,random,random,random,random,random,random
3,3,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hold,hold,hold,hold,hold,hold,hold
4,4,4,3,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random,random,random,random,random,random,random
3,3,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hold,hold,hold,hold,hold,hold,hold
4,4,4,3,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random,random,random,random,random,random,random
3,3,3,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hold,hold,hold,hold,hold,hold,hold
4,4,4,3,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random,random,random,random,random,random,random
4,3,0,9,18,0,0,326068,2418,0,0,258143,2380,606291,7821,667185,9921,47721,248,94324,511,77.65951337123988,0.0,1567.7472540430026,2776.6296664498514,2800.922245549853,9.15211554308189,18.97927504510153,0.033574,0.0,0.08339289999999999,0.2014398,0.224958,0.004871299999999999,0.0096368,openai:gpt-4.1-nano-2025-04-14,hold,google-gla:gemini-2.5-flash,google-gla:gemini-2.5-flash,google-gla:gemini-2.5-flash,openai:gpt-4.1-nano-2025-04-14,openai:gpt-4.1-nano-2025-04-14
